,site,round,sample_pt,sample_id,year,barcode_id,active_flower,pre_id,final_id,notes,plate,well,well_letter,well_number,microcentrifuge,pollen,tube_m,tube_pollen_m,pollen_m,mass_factor,pesticide,lauren_pollen,natalia_pollen,gut_plate,rerun_plate
1,ED,6,ED09,6_ED09,2022,ED6_09_02,TRRE,B. impatiens,B. impatiens,,impatiens_DNA_05,G12,G,12,y,y,NA,NA,0,NA,,,,,
2,ED,6,ED15,6_ED15,2022,ED6_15_01,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_05,H2,H,2,y,y,NA,NA,0,NA,,,,,
3,ED,6,ED13,6_ED13,2022,ED6_13_14,TRRE,B. impatiens,B. impatiens,,impatiens_DNA_06,F8,F,8,y,y,NA,NA,0,NA,,,,,
4,ED,6,ED31,6_ED31,2022,ED6_31_07,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_10,D3,D,3,y,y,NA,NA,0,NA,,,,bcparasite03_G10,
5,ED,6,ED13,6_ED13,2022,ED6_13_10,TRRE,B. impatiens,B. impatiens,,impatiens_DNA_06,C12,C,12,y,y,NA,NA,0,NA,,,,,
6,ED,6,ED01,6_ED01,2022,ED6_01_01,VICR,B. impatiens,B. impatiens,,impatiens_DNA_06,G8,G,8,y,y,NA,NA,0,NA,,,,,
7,ED,6,ED28A,6_ED28A,2022,ED6_28A_03,VICR,B. impatiens,B. impatiens,,impatiens_DNA_11,E11,E,11,y,y,NA,NA,0,NA,,,,,
8,ED,6,ED28A,6_ED28A,2022,ED6_28A_08,VICR,B. impatiens,B. impatiens,,impatiens_DNA_09,F1,F,1,y,y,NA,NA,0,NA,,y,,bcparasite07_A1,
9,ED,6,ED22A,6_ED22A,2022,ED6_22A_02,TRRE,B. impatiens,B. impatiens,,impatiens_DNA_08,H9,H,9,y,y,NA,NA,0,NA,,y,,bcparasite05_C4,
10,HR,6,HR28,6_HR28,2022,HR6_28_02,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_12,H12,H,12,y,y,NA,NA,0,NA,,,,,
11,HR,6,HR12C,6_HR12C,2022,HR6_12C_03,VICR,B. impatiens,B. impatiens,,impatiens_DNA_12,F12,F,12,y,y,NA,NA,0,NA,,,,,
12,HR,6,HR27,6_HR27,2022,HR6_27_01,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_13,C6,C,6,y,y,NA,NA,0,NA,,,,,
13,HR,6,HR36,6_HR36,2022,HR6_36_03,nest?,B. impatiens,B. impatiens,,impatiens_DNA_12,H8,H,8,y,y,NA,NA,0,NA,,,,,
14,HR,6,HR24,6_HR24,2022,HR6_24_01,VICR,B. impatiens,B. impatiens,,impatiens_DNA_12,H6,H,6,y,y,NA,NA,0,NA,,,,,
15,HR,6,HR23,6_HR23,2022,HR6_23_02,SANE,B. impatiens,B. impatiens,,impatiens_DNA_14,B1,B,1,y,y,NA,NA,0,NA,,,,,
16,HR,6,HR28,6_HR28,2022,HR6_28_05,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_12,G7,G,7,y,y,NA,NA,0,NA,,,,,
17,HR,6,HR24,6_HR24,2022,HR6_24_05,VICR,B. impatiens,B. impatiens,,impatiens_DNA_08,A12,A,12,y,y,NA,NA,0,NA,,,half,,
18,HR,6,HR36,6_HR36,2022,HR6_36_01,nest?,B. impatiens,B. impatiens,,impatiens_DNA_12,G9,G,9,y,y,NA,NA,0,NA,,,,,
19,NR,6,NR25,6_NR25,2022,NR6_25_02,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_04,B9,B,9,y,y,NA,NA,0,NA,,,,,
20,NR,6,NR43,6_NR43,2022,NR6_43_03,nest,B. impatiens,B. impatiens,,impatiens_DNA_09,B1,B,1,y,y,NA,NA,0,NA,,y,,bcparasite05_C8,
21,NR,6,NR24,6_NR24,2022,NR6_24_01,CHAN,B. impatiens,B. impatiens,,impatiens_DNA_04,B12,B,12,y,y,NA,NA,0,NA,,,,,
22,NR,6,NR22,6_NR22,2022,NR6_22_01,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_04,B7,B,7,y,y,NA,NA,0,NA,,,,,
23,NR,6,NR25,6_NR25,2022,NR6_25_03,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_04,D5,D,5,y,y,NA,NA,0,NA,,,,,
24,NR,6,NR22,6_NR22,2022,NR6_22_02,flying,B. impatiens,B. impatiens,,impatiens_DNA_03,H9,H,9,n,y,NA,NA,0,NA,,,,,
25,NR,6,NR43,6_NR43,2022,NR6_43_02,nest,B. impatiens,B. impatiens,,impatiens_DNA_09,E11,E,11,y,y,NA,NA,0,NA,,y,,bcparasite06_A11,
26,NR,6,NR43,6_NR43,2022,NR6_43_01,nest,B. impatiens,B. impatiens,,impatiens_DNA_04,E11,E,11,y,y,NA,NA,0,NA,,,,,
27,NR,6,NR01,6_NR01,2022,NR6_01_02,CHAN,B. impatiens,B. impatiens,,impatiens_DNA_08,H4,H,4,y,y,NA,NA,0,NA,,y,,bcparasite05_H3,
28,PM,6,PM63,6_PM63,2022,PM6_63_01,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_05,C1,C,1,y,y,NA,NA,0,NA,,,,,
29,PM,6,PM59,6_PM59,2022,PM6_59_03,CRCA,B. impatiens,B. impatiens,,impatiens_DNA_05,C8,C,8,y,y,NA,NA,0,NA,,,,,
30,PM,6,PM62,6_PM62,2022,PM6_62_02,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_05,C7,C,7,y,y,NA,NA,0,NA,,,,,
31,PM,6,PM46,6_PM46,2022,PM6_46_05,HYPE,B. impatiens,B. impatiens,,impatiens_DNA_05,C12,C,12,y,y,NA,NA,0,NA,,,,,
32,PM,6,PM46,6_PM46,2022,PM6_46_04,HYPE,B. impatiens,B. impatiens,,impatiens_DNA_05,D4,D,4,y,y,NA,NA,0,NA,,,,,
33,PM,6,PM63,6_PM63,2022,PM6_63_03,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_05,C6,C,6,y,y,NA,NA,0,NA,,,,,
34,PM,6,PM47,6_PM47,2022,PM6_47_01,CHAN,B. impatiens,B. impatiens,,impatiens_DNA_04,H7,H,7,y,y,NA,NA,0,NA,,,,,
35,PM,6,PM54A,6_PM54A,2022,PM6_54A_01,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_06,B9,B,9,y,y,NA,NA,0,NA,,,,,
36,PM,6,PM46,6_PM46,2022,PM6_46_03,HYPE,B. impatiens,B. impatiens,,impatiens_DNA_05,C5,C,5,y,y,NA,NA,0,NA,,,,,
37,SD,6,SD36,6_SD36,2022,SD6_36_10,VICR,B. impatiens,B. impatiens,,impatiens_DNA_03,B10,B,10,y,y,NA,NA,0,NA,,,,,
38,SD,6,SD37,6_SD37,2022,SD6_37_09,VICR,B. impatiens,B. impatiens,,impatiens_DNA_08,B3,B,3,y,y,NA,NA,0,NA,,,,bcparasite03_E5,
39,SD,6,SD26,6_SD26,2022,SD6_26_15,VIVI,B. impatiens,B. impatiens,,impatiens_DNA_13,D7,D,7,y,y,NA,NA,0,NA,,,,,
40,SD,6,SD40,6_SD40,2022,SD6_40_01,COAR,B. impatiens,B. impatiens,,impatiens_DNA_03,A9,A,9,y,y,NA,NA,0,NA,,,,,
41,SD,6,SD36,6_SD36,2022,SD6_36_12,VICR,B. impatiens,B. impatiens,,impatiens_DNA_07,A6,A,6,y,y,NA,NA,0,NA,,y,,bcparasite01_F3,
42,SD,6,SD37,6_SD37,2022,SD6_37_07,VICR,B. impatiens,B. impatiens,,impatiens_DNA_10,B9,B,9,y,y,NA,NA,0,NA,,,,,
43,SD,6,SD37,6_SD37,2022,SD6_37_11,VICR,B. impatiens,B. impatiens,,impatiens_DNA_07,C10,C,10,y,y,NA,NA,0,NA,,,,bcparasite01_B8,
44,SD,6,SD24,6_SD24,2022,SD6_24_02,LASY,B. impatiens,B. impatiens,,impatiens_DNA_03,A3,A,3,y,y,NA,NA,0,NA,,,,,
45,SD,6,SD03,6_SD03,2022,SD6_03_10,VICR,B. impatiens,B. impatiens,,impatiens_DNA_02,H7,H,7,y,y,NA,NA,0,NA,,,,,
46,W,6,W36,6_W36,2022,W6_36_05,VICR,B. impatiens,B. impatiens,,impatiens_DNA_01,F5,F,5,y,y,NA,NA,0,NA,,,,,
47,W,6,W16,6_W16,2022,W6_16_04,CIAR,B. impatiens,B. impatiens,,impatiens_DNA_02,B3,B,3,y,y,NA,NA,0,NA,,,,,
48,W,6,W18,6_W18,2022,W6_18_01,VEVI,B. impatiens,B. impatiens,,impatiens_DNA_07,F10,F,10,y,y,NA,NA,0,NA,,y,,bcparasite02_F5,
49,W,6,W16,6_W16,2022,W6_16_05,CIAR,B. impatiens,B. impatiens,,impatiens_DNA_01,F8,F,8,y,y,NA,NA,0,NA,,,,,
50,W,6,W08,6_W08,2022,W6_08_01,RUAR,B. impatiens,B. impatiens,,impatiens_DNA_02,C12,C,12,y,y,NA,NA,0,NA,,,,,
51,W,6,W28,6_W28,2022,W6_28_01,EPCI,B. impatiens,B. impatiens,,impatiens_DNA_02,B2,B,2,y,yy,NA,NA,0,NA,,,,,
52,W,6,W13,6_W13,2022,W6_13_01,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_01,G12,G,12,y,y,NA,NA,0,NA,,,,,
53,W,6,W16,6_W16,2022,W6_16_01,CIAR,B. impatiens,B. impatiens,,impatiens_DNA_09,B11,B,11,y,y,NA,NA,0,NA,,,,bcparasite05_F12,
54,W,6,W18,6_W18,2022,W6_18_06,VEVI,B. impatiens,B. impatiens,,impatiens_DNA_09,C9,C,9,y,y,NA,NA,0,NA,,y,,bcparasite06_F2,
55,ED,7,ED01,7_ED01,2022,ED7_01_05,CASI,B. impatiens,B. impatiens,,impatiens_DNA_05,G10,G,10,y,y,NA,NA,0,NA,,,,,
56,ED,7,ED32,7_ED32,2022,ED7_32_04,TRRE,B. impatiens,B. impatiens,,impatiens_DNA_09,G2,G,2,y,y,NA,NA,0,NA,,y,,bcparasite07_E7,
57,ED,7,ED06,7_ED06,2022,ED7_06_04,CHAN,B. impatiens,B. impatiens,,impatiens_DNA_07,G5,G,5,y,y,NA,NA,0,NA,,y,,bcparasite02_A8,
58,ED,7,ED13,7_ED13,2022,ED7_13_04,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_07,B4,B,4,y,y,NA,NA,0,NA,,,,,
59,ED,7,ED29,7_ED29,2022,ED7_29_01,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_11,B2,B,2,y,y,NA,NA,0,NA,,,,,
60,ED,7,ED13,7_ED13,2022,ED7_13_07,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_05,G3,G,3,y,y,NA,NA,0,NA,,,,,
61,ED,7,ED24A,7_ED24A,2022,ED7_24A_01,TRHY,B. rufocinctus,B. impatiens,,impatiens_DNA_05,H10,H,10,y,y,NA,NA,0,NA,,,,,
62,ED,7,ED27A,7_ED27A,2022,ED7_27A_02,VICR,B. impatiens,B. impatiens,,impatiens_DNA_09,H12,H,12,y,y,NA,NA,0,NA,,y,,bcparasite08_F2,
63,ED,7,ED31,7_ED31,2022,ED7_31_02,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_07,H12,H,12,y,y,NA,NA,0,NA,,,,bcparasite03_F1,
64,HR,7,HR04,7_HR04,2022,HR7_04_02,SPDO,B. impatiens,B. impatiens,,impatiens_DNA_07,A10,A,10,y,y,NA,NA,0,NA,,y,,bcparasite01_B4,
65,HR,7,HR28,7_HR28,2022,HR7_28_01,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_12,E7,E,7,y,y,NA,NA,0,NA,,,,,
66,HR,7,HR12C,7_HR12C,2022,HR7_12C_04,CASI,B. impatiens,B. impatiens,,impatiens_DNA_10,D6,D,6,y,y,NA,NA,0,NA,,,,,
67,HR,7,HR05A,7_HR05A,2022,HR7_05A_01,flying,B. impatiens,B. impatiens,,impatiens_DNA_12,F2,F,2,y,y,NA,NA,0,NA,,,,,
68,HR,7,HR36,7_HR36,2022,HR7_36_01,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_12,E8,E,8,y,y,NA,NA,0,NA,,,,,
69,HR,7,HR35,7_HR35,2022,HR7_35_01,TRME,B. vosnesenskii,B. impatiens,,impatiens_DNA_09,E7,E,7,y,y,NA,NA,0,NA,,y,,bcparasite06_D9,
70,HR,7,HR36,7_HR36,2022,HR7_36_05,IMGL,B. impatiens,B. impatiens,,impatiens_DNA_12,E3,E,3,y,y,NA,NA,0,NA,,,,,
71,HR,7,HR31,7_HR31,2022,HR7_31_01,VICR,B. impatiens,B. impatiens,,impatiens_DNA_10,D1,D,1,y,y,NA,NA,0,NA,,,,,
72,HR,7,HR23,7_HR23,2022,HR7_23_02,SANE,B. impatiens,B. impatiens,,impatiens_DNA_10,B8,B,8,y,y,NA,NA,0,NA,,,,,
73,NR,7,NR07A,7_NR07A,2022,NR7_07A_01,VICR,B. impatiens,B. impatiens,,impatiens_DNA_04,C11,C,11,y,y,NA,NA,0,NA,,,,,
74,NR,7,NR08A,7_NR08A,2022,NR7_08A_10,TAVU,B. impatiens,B. impatiens,,impatiens_DNA_01,E3,E,3,n,y,NA,NA,0,NA,,,,,
75,NR,7,NR29,7_NR29,2022,NR7_29_05,RUAR,B. impatiens,B. impatiens,,impatiens_DNA_03,F8,F,8,y,y,NA,NA,0,NA,,,,,
76,NR,7,NR27,7_NR27,2022,NR7_27_02,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_04,B10,B,10,y,y,NA,NA,0,NA,,,,,
77,NR,7,NR04A,7_NR04A,2022,NR7_04A_03,CIAR,B. impatiens,B. impatiens,,impatiens_DNA_04,F8,F,8,y,y,NA,NA,0,NA,,,,,
78,NR,7,NR14A,7_NR14A,2022,NR7_14A_02,TRHY,B. impatiens,B. impatiens,,impatiens_DNA_08,G5,G,5,y,y,NA,NA,0,NA,,y,,bcparasite04_A12,
79,NR,7,NR27,7_NR27,2022,NR7_27_03,HYRA,B. impatiens,B. impatiens,,impatiens_DNA_04,F4,F,4,y,y,NA,NA,0,NA,,,,,
